question,answer/0,answer/1,answer/2,answer/3,answer/4,answer/5,answer/6,answer/7,answer/8,answer/9,answer/10,answer/11,answer/12,answer/13,answer/14,answer/15,answer/16,answer/17,answer/18,answer/19,answer/20,answer/21,answer/22
where did this case of product tampering occur,the Chicago metropolitan area,,,,,,,,,,,,,,,,,,,,,,
what happens to water that infiltrates the soil if it is not absorbed by the roots of plants,runoff,,,,,,,,,,,,,,,,,,,,,,
who starred in the pirates of the caribbean,Johnny Depp,Orlando Bloom,Geoffrey Rush,Kevin McNally,Jonathan Pryce,Jack Davenport,Keira Knightley,,,,,,,,,,,,,,,,
who plays bianca in that's so raven,Erica Rivera,,,,,,,,,,,,,,,,,,,,,,
when did we find out the smoking man was mulder's father,Later in the sixth season,in the sixth season,,,,,,,,,,,,,,,,,,,,,
what causes cracked skin at the corners of your mouth,allergies,infection,irritation,,,,,,,,,,,,,,,,,,,,
the south west wind blows across nigeria between,till September,,,,,,,,,,,,,,,,,,,,,,
who is the lead singer of collective soul,Ed Roland,,,,,,,,,,,,,,,,,,,,,,
what are the top five wine producing states,Washington,Pennsylvania,Oregon,New York,California,,,,,,,,,,,,,,,,,,
who is known as the father of indian constitution,Bhimrao Ramji Ambedkar,,,,,,,,,,,,,,,,,,,,,,
what episode does lori die on the walking dead,"""Killer Within""",Killer Within,,,,,,,,,,,,,,,,,,,,,
who penned the famous indian epic the ramayana,Valmiki,the Hindu sage Valmiki,,,,,,,,,,,,,,,,,,,,,
when did the united kingdom entered world war 2,1939,,,,,,,,,,,,,,,,,,,,,,
where does jack ryan live in patriot games,"Baltimore, Maryland",,,,,,,,,,,,,,,,,,,,,,
when does season 8 for blue bloods start,"September 29, 2017",,,,,,,,,,,,,,,,,,,,,,
nobel laureate who began career as accountant in calcutta,Amartya Sen,,,,,,,,,,,,,,,,,,,,,,
what order do the captain america movies go in,Captain America: Civil War,,,,,,,,,,,,,,,,,,,,,,
who did virginia cavaliers lose to in basketball this year,Virginia Tech,West Virginia,UMBC,,,,,,,,,,,,,,,,,,,,
how many times have the golden state warriors been to the playoffs,nine,,,,,,,,,,,,,,,,,,,,,,
who plays emma in air bud world pup,Brittany Paige Bouck,,,,,,,,,,,,,,,,,,,,,,
who was the qb for the saints before drew brees,Aaron Brooks,,,,,,,,,,,,,,,,,,,,,,
what type of government is in north america,Federal presidential constitutional republic,federal republic,,,,,,,,,,,,,,,,,,,,,
when did the first episode of that 70s show air,"August 23, 1998","August 23, 1998",,,,,,,,,,,,,,,,,,,,,
what is an example of an americanized mexican food created by tex-mex cuisine,fajitas,nachos,hard tacos,chili con carne,,,,,,,,,,,,,,,,,,,
where was the film manchester by the sea filmed,Lynn,Swampscott,Beverly,Gloucester,Manchester,Essex,Middleton,Salem,Tewksbury,,,,,,,,,,,,,,
when did the nba add the three point line,1979–80,1979–80 season,the 1979–80 season,,,,,,,,,,,,,,,,,,,,
when was the last time someone won the super bowl back to back,2004,,,,,,,,,,,,,,,,,,,,,,
who has the best nba record this season,Houston Rockets,,,,,,,,,,,,,,,,,,,,,,
who was the main character in their eyes were watching god,Janie Crawford,,,,,,,,,,,,,,,,,,,,,,
who bowled the last over of the 2007 world twenty20 that india won,Pakistan,,,,,,,,,,,,,,,,,,,,,,
who was the youngest president to be elected,Theodore Roosevelt,John F. Kennedy,,,,,,,,,,,,,,,,,,,,,
when is the last time wisconsin missed the ncaa tournament,1997–98,,,,,,,,,,,,,,,,,,,,,,
mention the chemical change that proinsulin undergo to be able to act as mature insulin,post translational modification,,,,,,,,,,,,,,,,,,,,,,
how much venom can a king cobra produce,420 mg,up to 7 ml,200 to 500 mg,,,,,,,,,,,,,,,,,,,,
who is the girl in the hinder video lips of an angel,Emmanuelle Chriqui,,,,,,,,,,,,,,,,,,,,,,
when did the name of bombay change to mumbai,1995,,,,,,,,,,,,,,,,,,,,,,
when does season 7 game of thrones dvd release,"December 12, 2017",,,,,,,,,,,,,,,,,,,,,,
when did the twenty one pilots hiatus start,November 2016,July 2017,,,,,,,,,,,,,,,,,,,,,
who becomes chief resident on grey's anatomy season 7,April Kepner M.D.,Kepner,,,,,,,,,,,,,,,,,,,,,
when does the heart develop and begin pumping blood,by week 4 of development,week 4 of development,,,,,,,,,,,,,,,,,,,,,
who won the fifth season of america's got talent,Michael Grimm,Soul singer Michael Grimm,,,,,,,,,,,,,,,,,,,,,
what is the origin of the word celsius,the Swedish astronomer Anders Celsius,,,,,,,,,,,,,,,,,,,,,,
what is the official slogan for the 2018 winter olympics,Passion. Connected.,,,,,,,,,,,,,,,,,,,,,,
who starred in the film walk the line,Ginnifer Goodwin,Reese Witherspoon,Dallas Roberts,Joaquin Phoenix,Robert Patrick,,,,,,,,,,,,,,,,,,
who sang the song brother let me be your shelter,Needtobreathe,American Christian rock band Needtobreathe,,,,,,,,,,,,,,,,,,,,,
who plays justin on the haves and the have nots,Nicholas James,,,,,,,,,,,,,,,,,,,,,,
who gave a speech to the democratic national convention in 1984,Mario Cuomo,Jesse Jackson,Rev. Jesse Jackson,New York Governor Mario Cuomo,Senator Gary Hart,Gary Hart,,,,,,,,,,,,,,,,,
who sings what the world needs now in boss baby,Missi Hale,Steve Mazzaro,Hans Zimmer,,,,,,,,,,,,,,,,,,,,
who sings only love can break your heart,Neil Young,,,,,,,,,,,,,,,,,,,,,,
who sings ive loved you for a thousand years,Christina Perri,,,,,,,,,,,,,,,,,,,,,,
when was the first case of alzheimer's diagnosed,1901,,,,,,,,,,,,,,,,,,,,,,
who is the founder of google and when was it founded,1998,Sergey Brin,Larry Page,Larry Page and Sergey Brin,,,,,,,,,,,,,,,,,,,
who is the longest serving chief minister in india as on jan 2015,Jyotirindra Basu,,,,,,,,,,,,,,,,,,,,,,
joined mexico and the united states to form nafta,Canada,,,,,,,,,,,,,,,,,,,,,,
who was the chief guest of 2014 republic day,Prime Minister Shinzo Abe,,,,,,,,,,,,,,,,,,,,,,
how many episodes of ray donovan series 3 are there,60,12,,,,,,,,,,,,,,,,,,,,,
when do they put the rockefeller tree up,mid November,late November or early December,,,,,,,,,,,,,,,,,,,,,
when does synapsis of homologous chromosomes occur in mitosis,prophase I of meiosis,during prophase I of meiosis,,,,,,,,,,,,,,,,,,,,,
who does the civil rights act of 1964 protect,all Americans,,,,,,,,,,,,,,,,,,,,,,
when was the last time america hosted the summer olympics,Salt Lake City,1996,,,,,,,,,,,,,,,,,,,,,
when does season 8 of shameless come back,"November 5, 2017",,,,,,,,,,,,,,,,,,,,,,
the heart muscle is stimulated to contract by electrical impulses which are generated where,the sinoatrial node,,,,,,,,,,,,,,,,,,,,,,
who scored the most points in their nba career,Kareem Abdul-Jabbar,,,,,,,,,,,,,,,,,,,,,,
what is the meaning of the name gomez,man,,,,,,,,,,,,,,,,,,,,,,
where was the first t20 cricket match played,Lord's,,,,,,,,,,,,,,,,,,,,,,
who has won the most masters green jackets,Jack Nicklaus,,,,,,,,,,,,,,,,,,,,,,
who was appointed to manage the national recovery administration,Hugh S. Johnson,,,,,,,,,,,,,,,,,,,,,,
who want to be a millionaire calls his dad,Carpenter,,,,,,,,,,,,,,,,,,,,,,
when was the suite life of zack and cody made,"March 18, 2005","September 1, 2008",2005,,,,,,,,,,,,,,,,,,,,
who played shaggy in the new scooby doo movie,Matthew Lyn Lillard,,,,,,,,,,,,,,,,,,,,,,
who is the song diamonds and rust about,Bob Dylan,,,,,,,,,,,,,,,,,,,,,,
the resting stage of the cell cycle is,Gap 0,Interphase,,,,,,,,,,,,,,,,,,,,,
what do you call initials that stand for something,acronym,An acronym,,,,,,,,,,,,,,,,,,,,,
who sang oh annie i not your daddy,Kid Creole and the Coconuts,Kid Creole & The Coconuts,,,,,,,,,,,,,,,,,,,,,
who played king theoden in lord of the rings,Bernard Hill,,,,,,,,,,,,,,,,,,,,,,
what country shares borders with both belarus and romania,Ukraine,,,,,,,,,,,,,,,,,,,,,,
where was harry potter and the deathly hallows part 1 filmed,on location,,,,,,,,,,,,,,,,,,,,,,
how many farmers are there in the usa,3.2 million,,,,,,,,,,,,,,,,,,,,,,
what are the 3 layers of the meninges,the arachnoid mater,arachnoid mater,pia mater,the pia mater,dura mater,,,,,,,,,,,,,,,,,,
which of the following helmiths feeds on blood,Necator americanus,Ancylostoma duodenale,,,,,,,,,,,,,,,,,,,,,
what culture region is germany a part of,Central Germany,,,,,,,,,,,,,,,,,,,,,,
what was guantanamo bay before it was a prison,Guantanamo Bay Naval Base,,,,,,,,,,,,,,,,,,,,,,
who wrote most of the declaration of independance,Thomas Jefferson,,,,,,,,,,,,,,,,,,,,,,
in what part of the digestive tube do you expect the initial digestion of starch,the mouth,the minor salivary glands,,,,,,,,,,,,,,,,,,,,,
where do kidneys for kidney transplant come from,living-donor,,,,,,,,,,,,,,,,,,,,,,
what song did the titanic band play when it sank,"""Autumn""",,,,,,,,,,,,,,,,,,,,,,
how tall is the tallest building in las vegas,The Drew Las Vegas,"1,149 feet",,,,,,,,,,,,,,,,,,,,,
when is the new series of keeping faith starting,13 February 2018,,,,,,,,,,,,,,,,,,,,,,
who wrote trust and believe by keyshia cole,Jessyca Wilson,"Darhyl Camper, Jr.",Guordan Banks,Keyshia Cole,,,,,,,,,,,,,,,,,,,
who has the oldest team in the nba,Sacramento Kings,New York Knickerbockers,,,,,,,,,,,,,,,,,,,,,
when was the electronic funds transfer act signed into law,in 1978,"November 10, 1978",1978,,,,,,,,,,,,,,,,,,,,
who won the election for mayor in boston,Marty J. Walsh,Marty Walsh,,,,,,,,,,,,,,,,,,,,,
who won the first medal in olympics for india,Norman Pritchard,,,,,,,,,,,,,,,,,,,,,,
who wrote the music for christmas story live,Pasek and Paul,Pasek & Paul,Justin Paul,Benj Pasek,,,,,,,,,,,,,,,,,,,
first jnanpith award was an autor of which language,Malayalam,,,,,,,,,,,,,,,,,,,,,,
which is the ring finger for male in india,the left ring finger,left ring finger,,,,,,,,,,,,,,,,,,,,,
which condition would most likely require nutrition delivered through tpn,bowel obstruction,ulcerative colitis,high-output fistula,short bowel syndrome,very severe Crohn's disease,prolonged diarrhea,gastroschisis,,,,,,,,,,,,,,,,
who does the voice of stewie family guy,Seth MacFarlane,,,,,,,,,,,,,,,,,,,,,,
what is the name of the restaurant in seinfeld,Monk’s,Monk's Café,,,,,,,,,,,,,,,,,,,,,
who played david on the assassination of gianni versace,Cody Fern,,,,,,,,,,,,,,,,,,,,,,
what is the democracy of the united states,federal republic,,,,,,,,,,,,,,,,,,,,,,
who plays grace in the secret life of the american teenager,Megan Park,,,,,,,,,,,,,,,,,,,,,,
where did the rulers of the qing dynasty originate,Manchuria,,,,,,,,,,,,,,,,,,,,,,
in what state was the united states center of population gravity located during the period 1790,Maryland,"Kent County, Maryland",,,,,,,,,,,,,,,,,,,,,
where do the royalties for winnie the pooh go,the Slesinger family,"Slesinger, Inc.",,,,,,,,,,,,,,,,,,,,,
when is the new season of chicago pd,"September 27, 2017",,,,,,,,,,,,,,,,,,,,,,
who owns the majority of the us debt,China,Japan and China,Japan,the public,,,,,,,,,,,,,,,,,,,
who won the most on who wants to be a millionaire,Kevin Olmstead,David Goodman,,,,,,,,,,,,,,,,,,,,,
who does the voice of ash in sing,Scarlett Johansson,,,,,,,,,,,,,,,,,,,,,,
who was tammy from basketball wives married to,basketball player Kenny Anderson,Kenny Anderson,,,,,,,,,,,,,,,,,,,,,
who sang original i want a hippopotamus for christmas,Gayla Peevey,,,,,,,,,,,,,,,,,,,,,,
roman god of the underworld also called orcus or pluto,Dis Pater,,,,,,,,,,,,,,,,,,,,,,
where does the donkey talk in the bible,Numbers 22:28,,,,,,,,,,,,,,,,,,,,,,
when is chinese new year and what year is it,the year of the Dog,"Friday, 16 February",year of the Dog,,,,,,,,,,,,,,,,,,,,
when did korea separate into north and south,1945,17 August 1945,,,,,,,,,,,,,,,,,,,,,
who wrote if i were a boy reba or beyonce,Toby Gad,BC Jean,,,,,,,,,,,,,,,,,,,,,
what color is the golden gate bridge in san francisco,orange vermilion called international orange,red,International Orange,,,,,,,,,,,,,,,,,,,,
who played jennifer in back to the future,Claudia Grace Wells,,,,,,,,,,,,,,,,,,,,,,
where was the italian episode of everybody loves raymond filmed,Anguillara Sabazia outside of Rome,,,,,,,,,,,,,,,,,,,,,,
when was the last bear killed in the uk,c. 1000 AD,,,,,,,,,,,,,,,,,,,,,,
who wrote the song stop the world and let me off,W. S. Stevenson,Carl Belew,,,,,,,,,,,,,,,,,,,,,
what was the book wealth of nations about,what builds nations' wealth,,,,,,,,,,,,,,,,,,,,,,
most consecutive games with 20+ points - nba history,126,,,,,,,,,,,,,,,,,,,,,,
who in germany signed the treaty of versailles,Gustav Bauer,colonial minister Johannes Bell,Foreign minister Hermann Müller,,,,,,,,,,,,,,,,,,,,
who was the first president of the constituent assembly,Dr. Rajendra Prasad,,,,,,,,,,,,,,,,,,,,,,
what is the purse for the senior open,$2 million in 2011,,,,,,,,,,,,,,,,,,,,,,
when did american idol end the first time,"April 7, 2016",,,,,,,,,,,,,,,,,,,,,,
who played anna in once upon a time,Elizabeth Dean Lail,,,,,,,,,,,,,,,,,,,,,,
who sang the original song send in the clowns,Glynis Johns,the actress Glynis Johns,,,,,,,,,,,,,,,,,,,,,
when was the drinking age set to 21,By mid-1988,,,,,,,,,,,,,,,,,,,,,,
who produced the movie i can only imagine,Pete Shilaimon,Raymond Harris,Daryl Lefever,Kevin Downes,Cindy Bond,Joe Knopp,Mickey Liddell,,,,,,,,,,,,,,,,
what is the meaning of auv in cars,action utility vehicles,,,,,,,,,,,,,,,,,,,,,,
who monitor the recovery of the location during a disaster,management team,,,,,,,,,,,,,,,,,,,,,,
who wrote the treasure of the sierra madre,B. Traven,bilingual German author B. Traven,,,,,,,,,,,,,,,,,,,,,
the first line of http request message is called ____,A request line,A status line,the status line,status line,,,,,,,,,,,,,,,,,,,
who hit 6 sixes in an over in test cricket,Ravi Shastri,Garfield Sobers,,,,,,,,,,,,,,,,,,,,,
when was the internet introduced to the public,September 1993,1995,in the very late 1980s,,,,,,,,,,,,,,,,,,,,
in texas how is the commissioner of insurance placed in office,Appointed,,,,,,,,,,,,,,,,,,,,,,
when did the first fleet arive in australia,18 January 1788,1788,,,,,,,,,,,,,,,,,,,,,
who sings so come and dance with me jai ho,Mahalaxmi Iyer,Vijay Prakash,Tanvi Shah,Sukhvinder Singh,,,,,,,,,,,,,,,,,,,
this inventor co-created the film fred ott’s sneeze,Fred Ott,Edison,,,,,,,,,,,,,,,,,,,,,
which city is called the manchester of north india,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,
what was the first video game for nintendo,Magnavox Odyssey,EVR Race,,,,,,,,,,,,,,,,,,,,,
who sang the american anthem at the super bowl,Pink,,,,,,,,,,,,,,,,,,,,,,
seven union territories of india and their capital,Chandigarh — Chandigarh,Daman and Diu — Daman,Lakshwadweep — Kavaratti,Puducherry — Pondicherry,,,,,,,,,,,,,,,,,,,
mount everest is part of what mountain range,Himalayas,,,,,,,,,,,,,,,,,,,,,,
how many us states are commonwealths and which states are they,Kentucky,Pennsylvania,Massachusetts,Virginia,,,,,,,,,,,,,,,,,,,
where does the river irk start and finish,east of Royton,the east of Royton,,,,,,,,,,,,,,,,,,,,,
what was the most important new religious figure of the new kingdom of ancient egypt,Aten,,,,,,,,,,,,,,,,,,,,,,
what is the average salary for a us congressman,"$174,000",,,,,,,,,,,,,,,,,,,,,,
what was the full name of the titanic,RMS Titanic,,,,,,,,,,,,,,,,,,,,,,
who wrote the book my country my life,L. K. Advani,,,,,,,,,,,,,,,,,,,,,,
winner of first series of great british bake off,Edd Kimber,,,,,,,,,,,,,,,,,,,,,,
how many rooms is there in buckingham palace,775,775 rooms,,,,,,,,,,,,,,,,,,,,,
who plays the dad in the new beauty and the beast,Kevin Kline,,,,,,,,,,,,,,,,,,,,,,
when does season 3 of the riveras start,"March 11, 2018",,,,,,,,,,,,,,,,,,,,,,
who has won more national championships michigan or ohio state,Michigan,,,,,,,,,,,,,,,,,,,,,,
what happened to the actor who played frost on rizzoli and isles,committed suicide,Lee Thompson Young,,,,,,,,,,,,,,,,,,,,,
when did lynyrd skynyrd's plane crash happen,"October 20, 1977",,,,,,,,,,,,,,,,,,,,,,
how many countries in the world have scouts,216,169,216 countries and territories,,,,,,,,,,,,,,,,,,,,
what is the name of season 6 of american horror story,Roanoke,American Horror Story: Roanoke,,,,,,,,,,,,,,,,,,,,,
when did dragon ball super tournament of power start,"February 19, 2017",,,,,,,,,,,,,,,,,,,,,,
who plays bongos on sympathy for the devil,Rocky Dzidzornu,Rocky Dzidzornu – congas,,,,,,,,,,,,,,,,,,,,,
who said if a tree falls in the woods and nobody hears it,Philosopher George Berkeley,Charles Riborg Mann,George Ransom Twiss,,,,,,,,,,,,,,,,,,,,
who formed the indian society of oriental art,Abanindranath Tagore CIE,Abanindranath Tagore,,,,,,,,,,,,,,,,,,,,,
what is the meaning of lord shiva lingam,reminds of the Omnipotent Lord,,,,,,,,,,,,,,,,,,,,,,
who is the queen of hearts in alice in wonderland,the primary antagonist,,,,,,,,,,,,,,,,,,,,,,
the octet rule states that in chemical compounds atoms tend to have the electron configuration of a,noble gas,,,,,,,,,,,,,,,,,,,,,,
where is the majority of phosphorous stored in the environment,minerals,rocks,in rocks and minerals,,,,,,,,,,,,,,,,,,,,
where is the hotel used in the movie the shining,The Stanley Hotel,,,,,,,,,,,,,,,,,,,,,,
who was the father of the princes in the tower,Edward IV of England,Edward IV,,,,,,,,,,,,,,,,,,,,,
when was the titanic started to be built,31 March 1909,,,,,,,,,,,,,,,,,,,,,,
when does the first nba basketball game start,"October 17, 2017",,,,,,,,,,,,,,,,,,,,,,
the german princes who chose the holy roman empire were called,prince-electors,the Prince-Electors,,,,,,,,,,,,,,,,,,,,,
when did refrigerator perry play for the bears,1985–1993,,,,,,,,,,,,,,,,,,,,,,
who came up with the idea of the transcontinental railroad,Dr. Hartwell Carver,,,,,,,,,,,,,,,,,,,,,,
the elements in each period have the same number of,electron shells,,,,,,,,,,,,,,,,,,,,,,
when is the new season of wentworth coming out,19 June 2018,,,,,,,,,,,,,,,,,,,,,,
leader of carthage in the first punic war,Hanno the Great,Xanthippus,Hasdrubal the Fair,Hamilcar Barca,,,,,,,,,,,,,,,,,,,
who won latest america's next top model,Kyla Coleman,,,,,,,,,,,,,,,,,,,,,,
what is the main use of the eiffel tower in modern times,visited paid monument,paid monument,,,,,,,,,,,,,,,,,,,,,
who sang smoke gets in your eyes first,Gertrude Niesen,Tamara Drasin,,,,,,,,,,,,,,,,,,,,,
when did the soviet union first gain control of parts of poland and the baltic republics,14 June 1940,,,,,,,,,,,,,,,,,,,,,,
who played nathan scott on one tree hill,James Martin Lafferty,,,,,,,,,,,,,,,,,,,,,,
